White,Alchy,Junky,Super,Married,Felon,Workrel,Propty,Person,Male,Priors,School,Rule,Age,Tservd,Follow,Recidivate
0,0,0,1,0,0,0,1,0,1,1,11,1,20,3,56,0
1,0,0,1,0,1,0,0,0,1,0,12,0,23,15,57,1
0,0,0,0,0,1,0,1,0,1,1,9,2,18,6,56,0
0,1,0,1,0,0,0,0,0,1,0,7,0,18,4,50,0
0,1,0,1,1,0,1,0,0,1,15,3,0,56,12,50,1
0,0,0,1,0,0,1,0,0,1,0,7,1,22,24,48,0
0,0,0,1,1,0,1,1,0,1,2,9,0,27,7,50,0
1,1,0,1,1,0,1,0,1,1,0,12,0,31,14,56,0
0,1,0,1,0,1,0,0,0,1,3,9,2,27,51,49,0
0,0,0,1,0,0,0,0,1,1,1,11,0,26,3,49,0
1,1,1,1,0,0,1,0,1,1,0,12,0,21,4,54,1
0,0,0,1,0,1,0,1,0,1,0,8,1,17,12,48,1
1,0,0,1,0,1,1,0,1,1,0,12,0,33,14,46,1
1,1,0,0,0,1,0,1,0,1,1,9,0,21,16,47,1
0,0,0,1,0,0,1,0,0,1,8,12,0,38,12,53,1
1,1,1,0,0,1,0,1,0,1,0,11,3,19,6,53,1
1,1,0,1,0,0,0,0,0,1,0,11,0,20,4,46,1
1,0,1,1,0,0,0,0,0,1,0,10,12,20,23,56,1
0,0,0,1,0,1,0,1,0,1,2,10,2,30,71,53,1
1,0,0,0,0,0,0,0,0,1,0,8,0,19,6,54,1
1,1,0,1,0,0,0,0,0,1,4,2,0,39,4,51,1
0,0,1,1,0,1,1,1,0,1,10,4,0,49,26,56,0
0,0,0,1,0,0,0,0,1,1,0,10,0,22,5,53,1
1,0,0,1,1,0,1,0,0,1,0,9,0,20,5,53,1
1,0,1,1,0,1,1,0,0,1,0,13,0,26,22,48,1
0,0,0,1,0,1,0,1,0,1,0,9,0,18,7,49,1
1,1,0,1,1,1,0,1,0,1,0,3,0,49,9,48,1
0,1,0,1,0,1,1,0,1,1,0,11,2,26,87,52,0
1,1,0,1,0,1,1,1,0,1,2,14,7,31,104,53,1
1,0,0,1,0,1,1,1,0,1,1,8,9,25,55,50,0
0,1,0,0,1,0,1,0,0,1,6,8,0,33,13,52,1
0,0,0,0,0,0,0,1,0,1,0,12,3,20,14,49,1
1,1,0,1,0,1,1,1,0,1,2,14,7,31,104,53,1
1,1,0,1,1,0,1,0,0,1,2,9,0,34,7,55,1
0,1,1,0,0,0,1,0,0,1,0,11,2,23,21,52,0
1,0,0,0,0,0,1,0,0,1,1,10,1,21,25,52,0
1,0,0,1,1,1,0,0,1,1,0,9,3,21,16,51,1
1,1,0,1,0,0,1,1,0,1,7,9,0,34,3,51,1
0,0,0,1,0,1,1,0,0,1,0,12,0,27,19,55,0
1,0,0,0,0,1,0,1,0,1,0,12,0,20,4,57,1
0,0,0,0,0,0,0,0,0,1,1,11,3,30,38,54,1
1,0,0,1,0,0,0,1,0,1,0,7,0,18,11,52,1
1,0,1,1,0,1,0,1,0,1,1,6,22,17,45,57,0
1,0,1,0,1,0,0,0,0,1,9,8,2,34,43,47,1
1,1,0,1,0,0,1,0,0,1,1,11,0,37,5,54,1
1,0,0,0,1,0,1,1,0,1,2,5,1,27,21,56,0
1,1,0,1,1,0,1,0,0,1,4,6,0,41,9,53,1
1,0,0,1,0,0,0,1,0,0,0,9,0,33,4,55,1
1,1,0,0,1,1,0,0,1,1,1,10,0,20,4,53,0
1,0,0,1,0,1,0,0,0,1,9,9,24,44,82,49,0
0,0,0,1,0,0,0,0,0,1,0,9,0,20,14,56,1
0,1,0,0,0,0,1,0,0,1,3,8,0,47,6,55,1
1,1,1,1,0,0,1,1,0,1,2,10,1,27,23,55,1
0,0,0,0,0,1,1,1,0,1,2,9,5,28,112,55,0
0,0,1,1,0,0,0,0,0,1,0,10,5,22,40,48,1
0,1,1,1,0,1,0,1,0,1,0,9,29,21,47,54,0
0,0,0,1,0,0,0,1,0,1,0,10,3,19,12,54,0
0,1,1,1,0,1,0,1,0,1,0,10,1,18,11,53,1
1,0,0,1,0,1,1,0,1,1,0,10,0,25,29,50,0
1,0,0,0,0,0,1,0,0,1,0,9,0,21,11,55,0
1,0,0,0,0,0,0,0,0,1,2,9,1,20,19,49,1
0,0,0,1,0,0,0,0,0,1,3,10,3,34,33,54,0
1,0,0,1,0,0,1,0,0,1,0,10,0,41,4,53,0
0,1,0,0,1,0,0,1,0,1,4,10,0,35,4,56,0
1,0,1,1,1,0,1,0,0,1,1,7,0,34,35,54,1
0,0,0,1,0,1,0,0,0,1,0,12,0,20,16,50,1
0,0,1,1,0,1,1,1,0,1,1,9,1,26,31,51,0
1,0,0,1,1,1,0,0,0,1,1,19,0,39,8,51,1
0,1,0,1,0,0,0,0,0,1,0,11,0,21,4,55,1
1,1,0,0,1,0,1,0,0,1,2,8,0,34,5,49,1
1,1,1,1,0,1,0,0,0,1,0,9,0,20,12,55,0
0,0,0,1,0,1,0,1,0,1,0,10,1,19,6,55,0
0,0,0,1,0,1,0,1,0,1,0,9,2,18,12,49,0
0,0,1,0,0,1,1,1,0,1,0,10,6,22,38,57,0
0,0,1,1,1,1,0,0,0,1,0,9,0,30,8,53,0
1,1,0,1,0,0,0,0,0,1,0,12,0,32,2,49,1
0,1,0,1,0,0,0,0,0,1,3,10,0,22,2,52,0
1,1,1,0,1,1,0,1,0,1,0,9,0,17,4,54,0
1,1,0,1,0,1,0,1,0,1,0,7,0,18,8,48,1
0,0,1,1,1,1,1,0,0,1,0,12,1,23,11,48,1
1,0,0,1,1,1,1,0,0,1,1,11,0,32,11,55,1
1,0,0,1,1,0,0,0,0,1,0,8,0,35,2,53,0
0,1,0,0,1,0,0,0,0,1,10,9,0,58,12,49,1
0,0,0,1,0,1,0,1,0,1,0,12,4,21,17,46,0
1,0,0,1,0,0,0,1,0,0,0,10,0,21,11,46,1
1,0,1,1,0,1,0,0,0,1,0,11,0,19,3,46,0
1,0,0,1,0,0,0,0,0,1,0,2,2,17,18,56,0
0,1,1,1,0,0,1,1,0,1,0,12,4,28,70,49,0
1,0,0,1,1,1,1,1,0,1,2,11,8,24,77,51,0
0,0,0,1,1,1,1,0,1,1,0,14,0,51,9,54,1
1,0,0,1,0,0,1,0,0,0,0,14,0,25,11,55,1
0,0,0,1,1,1,0,1,0,1,0,12,0,23,1,54,1
0,0,0,1,0,1,0,0,1,1,0,10,2,31,58,46,1
1,0,0,1,1,0,1,0,0,1,2,7,1,36,27,49,1
1,0,0,1,0,1,0,1,0,1,0,6,10,21,36,56,1
1,1,0,1,0,1,0,0,0,1,0,8,10,20,25,50,1
0,0,0,1,0,1,1,0,1,1,0,6,0,36,43,46,1
0,0,0,1,0,1,0,1,0,1,8,3,0,50,40,56,1
0,0,0,1,0,0,0,0,0,1,0,11,0,22,1,52,0
1,1,1,1,0,0,1,0,0,1,1,12,0,28,4,55,1
1,1,1,1,0,0,1,1,0,1,0,8,0,19,6,57,1
0,1,0,1,0,1,1,0,1,1,0,8,0,44,19,48,1
0,1,1,1,0,0,1,0,0,1,0,10,2,32,61,49,1
0,1,0,1,0,0,1,0,0,1,0,9,2,30,12,46,1
0,0,0,1,0,1,0,1,0,0,0,9,0,20,4,52,1
1,1,0,0,0,0,0,0,0,1,1,1,0,56,14,52,0
0,1,0,1,1,0,0,0,0,1,4,5,0,53,3,50,0
1,0,0,1,0,1,1,0,0,1,0,12,2,29,13,51,1
0,0,0,0,0,0,1,1,0,1,0,11,2,23,7,48,1
1,0,0,1,0,0,1,0,0,1,0,5,0,36,4,49,1
1,0,0,1,0,0,1,1,0,1,0,8,1,24,45,49,0
1,0,1,1,0,1,0,0,0,1,0,12,1,24,10,54,1
1,0,0,1,1,0,0,1,0,0,0,7,0,50,9,53,1
0,0,0,0,0,1,0,1,0,0,0,10,7,17,9,54,0
1,0,0,1,0,1,0,1,0,0,0,10,0,20,15,55,0
0,0,0,1,0,0,0,0,0,1,2,13,3,31,26,48,1
1,0,0,1,0,0,0,1,0,1,5,5,0,42,2,50,1
0,0,1,1,0,0,1,0,0,1,2,12,1,34,23,48,1
0,0,1,1,0,1,1,1,0,1,10,4,0,49,26,56,0
1,0,0,1,1,1,1,1,0,1,1,14,0,37,19,48,1
0,0,0,1,0,1,1,0,1,1,0,10,3,23,50,57,1
1,0,0,1,0,0,0,0,0,1,0,12,0,24,1,51,1
1,0,0,1,0,1,0,1,0,1,0,9,0,21,12,49,0
1,0,0,1,0,0,1,0,0,1,0,11,1,28,5,53,1
0,0,0,1,0,0,1,0,0,1,0,12,1,27,15,46,1
1,0,0,0,1,0,0,0,0,1,0,9,0,21,2,56,1
1,1,1,1,0,1,1,1,0,1,0,6,8,24,68,52,0
1,0,0,1,0,1,0,1,0,1,0,9,0,17,6,51,0
1,1,0,1,0,0,0,0,0,1,0,10,0,25,3,52,1
0,0,0,1,1,1,1,0,0,1,0,8,0,50,9,48,1
1,1,0,1,0,0,1,0,0,1,6,8,1,34,10,46,1
0,1,0,1,1,0,0,0,0,1,0,5,0,55,2,47,1
1,1,0,0,0,0,0,1,0,1,0,11,1,31,9,46,1
0,0,0,0,0,1,1,1,0,1,1,9,3,28,5,52,0
0,0,0,0,0,1,0,1,0,1,0,9,3,19,5,52,0
0,1,0,1,1,1,0,1,0,1,0,12,0,43,15,55,1
1,0,0,1,0,1,0,1,0,1,0,9,0,16,10,49,0
1,0,0,1,0,1,1,0,1,1,0,9,0,33,8,47,1
0,0,0,1,1,0,0,0,0,1,1,11,3,31,83,51,0
0,0,0,1,1,0,0,1,0,1,2,10,2,22,12,50,0
1,0,0,0,0,0,0,0,1,1,1,9,1,18,6,52,0
1,0,1,1,0,0,0,1,0,1,0,9,2,18,4,55,1
1,1,0,1,0,0,0,0,0,1,0,9,0,25,1,48,0
1,0,0,1,1,0,1,1,0,1,4,11,0,52,14,57,0
1,1,1,1,0,1,1,1,0,1,2,7,0,34,9,51,0
1,1,1,1,0,1,1,1,0,1,0,10,1,22,13,55,1
1,0,0,1,0,1,1,1,0,1,1,14,4,27,67,50,1
0,1,0,1,1,0,0,0,0,1,0,10,0,36,6,50,0
1,0,0,1,0,1,1,1,0,1,0,12,1,24,28,49,1
0,0,0,1,0,1,1,1,0,1,0,10,0,26,46,46,1
1,0,0,1,0,1,1,0,0,1,1,12,2,29,18,48,1
0,1,0,1,0,1,1,1,0,1,7,11,0,33,7,49,0
0,1,0,0,1,1,1,1,0,1,0,10,0,22,6,57,0
0,0,0,1,1,1,1,0,1,1,0,9,0,32,18,55,1
1,0,0,1,0,0,1,0,1,1,0,9,0,21,4,46,0
1,0,0,1,0,0,0,1,0,0,0,12,0,41,5,53,0
1,0,0,1,0,1,0,1,0,1,1,8,2,22,25,46,1
1,1,1,1,0,1,0,0,0,1,0,9,1,24,7,56,1
0,1,0,1,0,0,1,0,0,1,0,12,4,21,24,55,0
1,0,0,0,0,1,0,0,0,1,0,10,0,18,3,47,1
0,1,0,1,0,0,0,0,0,1,2,9,0,36,4,53,1
1,0,0,0,0,0,0,0,1,1,0,7,0,17,7,49,1
1,0,0,1,0,0,0,1,0,1,0,9,0,19,5,52,0
0,0,0,0,0,1,0,1,0,1,0,10,5,18,14,52,1
0,0,0,1,0,0,0,0,0,1,1,10,0,36,2,54,1
1,0,0,1,0,0,1,0,0,1,0,9,1,23,22,47,0
0,1,0,0,1,0,0,1,0,1,4,10,0,35,4,56,0
0,1,1,1,0,0,0,1,0,1,1,11,1,20,19,46,0
0,0,0,1,0,1,0,1,0,1,0,11,0,19,17,47,1
1,1,0,1,0,0,1,1,0,1,0,10,0,44,10,55,1
1,1,0,1,0,1,0,1,0,1,0,12,1,25,5,47,1
1,1,1,1,0,0,0,0,0,1,0,14,1,25,7,49,1
1,0,0,1,1,0,1,0,0,1,0,12,0,31,13,56,1
1,1,1,1,0,1,0,1,0,0,0,9,0,18,9,50,1
1,0,0,1,0,1,1,0,1,1,8,12,9,36,197,53,0
0,0,0,1,0,0,1,0,0,0,0,10,1,21,19,57,1
0,1,0,0,0,0,1,1,0,1,7,9,0,32,4,55,0
0,1,0,0,0,0,1,0,0,1,9,3,0,52,6,54,0
1,0,0,1,0,0,0,0,0,1,0,8,0,19,1,55,1
1,0,0,1,0,1,0,1,0,1,0,9,0,23,6,46,1
1,1,0,1,0,0,0,0,0,1,5,5,0,55,16,51,0
1,0,0,1,0,0,0,0,0,1,0,9,2,18,18,53,0
0,0,0,1,0,1,0,1,0,0,0,12,0,36,9,46,1
1,0,0,1,0,0,1,0,0,1,3,12,0,32,3,53,1
0,0,1,1,0,0,0,0,0,1,0,12,1,27,19,53,0
0,0,0,1,0,1,1,1,0,1,7,10,3,30,66,56,0
1,1,0,1,1,0,0,0,0,1,0,10,0,58,7,51,1
0,1,0,1,0,0,0,0,0,1,4,8,0,33,4,54,1
1,0,0,0,0,0,1,0,0,1,2,12,4,28,44,54,1
1,1,0,1,1,0,1,0,0,1,1,14,0,58,4,54,1
0,1,1,0,0,0,0,1,0,1,0,9,3,19,10,50,0
1,1,0,1,1,0,1,0,0,1,0,9,0,22,6,48,0
0,1,0,0,0,1,0,0,1,1,1,9,0,23,4,48,0
0,1,0,1,0,1,0,1,0,1,4,10,13,32,96,47,1
1,0,0,0,1,0,0,0,0,1,4,8,0,41,9,53,0
0,1,1,1,0,0,0,1,0,1,0,10,2,21,14,47,0
1,0,1,0,0,0,1,0,0,1,0,11,3,21,24,57,1
0,0,0,0,0,0,1,0,0,1,0,9,1,21,31,53,1
0,1,1,1,0,1,1,0,1,0,0,10,0,47,24,47,1
1,0,1,1,1,1,0,0,0,1,0,10,2,23,18,52,1
1,0,0,1,1,1,1,1,0,1,6,2,4,32,52,50,1
0,0,0,1,0,0,1,0,0,1,6,9,3,38,22,53,0
0,1,1,0,0,1,0,1,0,1,0,10,4,20,13,47,0
1,1,0,1,0,0,1,0,0,1,2,7,0,41,7,55,1
1,0,0,1,0,0,0,1,0,1,0,10,0,17,2,56,1
0,0,0,1,0,1,1,1,0,1,1,11,0,24,9,48,1
1,1,0,1,0,0,0,0,0,1,3,12,0,38,5,47,1
0,0,0,1,1,1,1,1,0,1,1,12,6,26,56,48,1
1,1,0,1,1,0,1,0,0,1,0,8,0,41,14,49,0
1,1,0,1,1,0,1,0,0,1,0,8,0,25,6,55,1
0,0,0,1,0,1,0,0,0,0,0,12,0,30,4,57,0
0,1,1,1,0,0,0,1,0,1,2,9,0,33,9,47,1
0,0,0,1,0,0,0,1,0,1,1,10,3,18,19,49,0
0,1,0,1,0,1,1,0,1,1,0,8,0,44,19,48,1
1,1,1,1,0,1,1,1,0,1,0,14,1,34,15,56,1
0,0,0,1,0,0,1,0,1,1,1,6,0,39,5,51,0
1,0,0,1,0,0,0,0,0,1,2,8,3,22,17,53,1
1,0,0,1,0,0,0,1,0,1,0,8,0,26,4,52,1
1,0,0,1,0,1,0,1,0,1,0,8,0,20,10,46,0
1,1,0,1,1,0,0,0,0,1,0,10,0,35,2,47,0
0,0,0,1,1,1,0,1,0,1,0,12,1,21,9,46,1
0,0,0,1,0,1,0,1,0,1,0,10,2,17,7,49,1
1,1,0,1,1,0,1,0,0,1,0,9,4,30,29,53,1
0,0,0,1,0,1,0,1,0,1,0,10,4,20,52,46,0
0,0,0,1,0,0,0,0,0,1,0,11,0,22,1,52,0
0,1,1,1,0,1,1,0,1,0,0,10,0,47,24,47,1
1,1,0,1,0,1,1,1,0,0,0,11,5,33,31,47,1
1,1,1,1,0,0,1,0,0,1,0,9,1,20,21,50,0
0,0,0,0,0,0,0,0,0,1,0,11,1,19,13,52,1
1,0,0,1,1,0,0,0,0,1,0,10,5,19,20,50,0
0,0,0,1,0,0,0,0,0,1,1,10,6,18,30,57,0
0,0,1,1,0,1,0,1,0,1,0,12,1,28,78,52,1
0,0,0,1,0,1,0,1,0,1,0,9,2,18,16,47,0
1,1,0,1,0,0,1,1,0,0,0,12,0,29,22,55,0
1,0,0,1,1,1,0,1,0,1,0,10,5,23,19,50,1
0,0,0,1,0,0,1,0,0,1,3,8,0,32,12,46,1
1,0,1,1,0,0,0,1,0,1,0,8,0,16,8,51,0
1,0,1,1,0,0,0,0,0,1,0,9,0,17,5,55,1
1,0,1,1,0,0,0,1,0,1,5,8,0,29,5,47,0
0,0,1,1,0,1,0,0,0,1,0,11,0,25,2,53,1
0,0,0,1,0,0,1,0,0,1,2,7,1,21,25,51,0
0,1,0,1,0,0,1,0,0,1,1,10,0,37,5,48,1
0,0,0,1,1,1,1,1,0,1,1,11,0,24,24,51,1
1,0,0,1,0,0,0,1,0,1,0,9,1,16,5,51,0
1,0,0,1,0,1,0,1,0,1,0,10,0,18,10,52,0
1,1,0,1,0,0,0,0,0,1,0,9,0,23,3,46,1
1,0,0,1,0,1,1,1,0,1,0,6,5,22,77,48,0
0,1,0,1,0,0,0,0,0,1,0,13,4,32,40,53,1
1,0,1,1,1,1,0,0,0,1,0,10,2,23,18,52,1
0,0,0,1,0,1,0,1,0,1,0,9,0,17,8,55,1
0,1,0,1,1,0,1,0,0,1,1,11,0,43,5,48,0
0,0,0,1,1,1,1,1,0,1,0,12,2,33,48,55,1
1,1,1,1,0,0,1,0,1,1,0,12,0,25,5,50,1
0,0,1,1,0,0,0,0,0,1,0,12,2,20,16,57,0
0,0,0,1,0,0,0,1,0,1,1,8,3,19,20,50,0
1,0,0,1,0,0,0,0,0,1,4,12,3,27,28,53,0
1,1,0,1,0,1,1,1,0,1,6,6,1,34,27,50,1
1,1,1,1,0,0,0,0,1,1,2,10,8,27,37,55,1
1,0,0,0,1,1,0,1,0,1,9,12,3,39,182,54,1
0,1,0,1,0,0,1,0,0,1,0,10,0,40,3,54,1
0,1,0,1,0,0,1,1,0,1,2,7,0,36,9,56,0
0,1,0,1,0,0,0,0,1,1,2,12,1,32,7,51,1
1,0,0,1,0,0,0,1,0,1,0,6,0,18,4,46,1
1,1,1,1,1,1,1,1,0,1,0,12,4,24,28,47,1
0,0,0,1,1,1,1,0,1,1,0,9,0,25,11,52,1
1,0,0,1,1,0,1,0,0,1,0,9,2,23,32,54,1
0,1,0,1,0,0,0,0,0,1,6,7,0,29,32,49,0
0,0,1,1,1,1,1,1,0,1,15,2,3,55,34,51,1
1,0,0,0,0,0,0,0,0,1,1,6,0,33,18,56,0
0,0,0,1,1,0,1,0,0,1,12,14,2,39,27,50,0
1,1,0,1,1,0,0,0,0,1,0,12,1,29,10,46,1
0,1,0,1,0,0,0,0,0,1,6,7,0,51,3,46,1
0,0,0,1,0,1,0,0,1,1,2,11,3,27,55,53,0
0,0,0,1,1,0,1,0,0,1,5,8,0,38,52,55,1
0,1,0,1,1,0,1,0,0,1,0,6,0,45,4,52,0
0,1,0,1,1,0,1,0,0,1,0,12,0,36,8,54,0
1,0,0,1,1,0,0,1,0,1,13,4,0,31,7,47,1
1,1,0,1,0,1,0,1,0,1,0,11,0,19,15,53,1
1,0,0,1,1,0,1,1,0,1,4,4,0,50,7,46,1
0,0,0,0,0,1,0,0,0,0,0,10,0,21,6,55,0
0,1,0,1,0,0,0,1,0,1,0,11,0,32,2,49,1
1,0,0,1,0,0,0,0,1,1,1,11,0,38,19,55,1
1,0,0,1,1,0,1,1,0,1,5,11,0,28,5,50,1
0,0,0,1,0,1,1,1,0,1,5,12,2,28,32,48,1
1,0,0,1,0,0,0,0,0,1,1,9,0,19,14,56,1
0,0,1,1,1,0,0,0,0,1,4,12,3,38,23,56,1
1,0,0,1,0,0,1,1,0,1,0,12,0,24,3,47,1
1,0,0,0,0,0,0,0,0,1,5,8,0,51,12,52,1
0,1,0,1,1,0,1,0,0,1,1,9,0,22,5,46,0
1,0,0,1,0,0,1,0,0,1,4,8,0,25,39,55,0
1,0,0,1,0,0,0,1,0,1,0,9,0,18,5,50,0
1,0,0,0,0,0,0,0,0,1,0,9,2,23,61,48,0
0,0,0,1,0,0,1,0,0,1,4,11,1,41,48,53,0
0,1,0,1,0,1,1,1,0,1,2,12,1,26,42,49,0
0,0,0,1,0,1,0,0,0,1,0,16,0,31,3,54,1
0,0,0,1,0,1,0,0,0,1,0,16,0,31,3,54,1
1,1,0,0,0,0,1,0,0,1,14,10,0,37,5,54,1
0,0,0,1,0,1,0,1,0,1,0,9,1,18,23,53,0
1,0,0,1,0,0,1,0,0,1,1,10,3,24,22,50,1
0,1,0,1,0,0,0,0,1,1,3,10,0,29,7,47,1
1,0,0,1,0,0,0,1,0,1,0,8,0,20,3,48,1
1,0,0,0,1,0,0,0,0,1,3,9,19,28,69,49,1
1,1,1,1,0,1,0,1,0,1,0,9,0,16,6,50,1
0,1,0,0,0,1,0,1,0,1,8,9,1,33,28,53,1
1,1,0,0,0,1,0,0,0,1,0,7,1,30,7,46,0
0,0,0,1,0,1,0,1,0,1,0,14,0,28,22,48,1
1,1,0,1,0,0,0,0,0,1,0,11,0,20,9,53,0
1,0,1,1,0,1,1,1,0,1,0,8,1,37,14,46,1
0,0,1,1,0,0,0,0,0,1,1,13,0,30,5,48,1
1,1,1,1,0,0,1,0,0,1,0,12,1,20,19,55,1
0,0,0,1,0,0,0,0,1,1,1,11,0,26,3,49,0
1,0,0,1,1,1,1,0,0,0,0,10,0,25,38,56,0
1,0,0,1,0,1,0,0,0,1,0,14,12,25,42,56,1
1,0,0,1,1,1,1,1,0,1,0,9,0,33,6,51,1
1,0,0,1,0,1,1,1,0,1,1,11,2,23,22,54,0
1,0,0,1,1,0,1,0,0,1,0,9,1,36,12,46,1
1,0,0,0,0,1,1,1,0,1,3,10,2,23,6,55,0
0,0,0,1,0,1,0,1,0,1,1,10,0,20,4,56,1
1,1,0,0,1,0,1,0,0,1,3,9,0,29,7,55,1
1,1,1,1,0,1,0,1,0,1,0,8,0,20,8,46,1
1,1,0,1,0,0,0,0,0,1,13,10,2,30,8,50,1
1,1,0,1,1,0,1,0,0,1,0,10,0,21,3,51,1
1,0,0,1,0,1,0,1,0,1,0,10,1,20,5,56,1
1,0,0,1,0,0,0,1,0,1,0,12,0,21,6,57,1
0,0,0,0,0,1,0,1,0,1,2,11,0,23,4,50,0
1,0,0,1,1,1,1,0,1,1,0,8,0,41,25,50,1
1,1,0,1,1,0,1,0,0,1,6,10,1,33,11,47,0
1,0,0,1,0,0,1,0,0,1,1,8,0,23,43,51,1
1,0,0,0,0,1,0,1,0,1,0,10,0,21,5,52,1
1,0,0,1,1,0,1,0,0,1,0,9,1,36,12,46,1
1,1,0,1,0,1,0,0,0,1,4,7,2,28,15,50,1
1,1,0,1,0,0,0,0,0,1,0,12,4,23,19,47,1
1,1,0,1,1,0,1,0,0,1,1,10,0,39,3,57,0
1,0,0,1,0,0,0,0,0,0,0,11,0,20,4,55,1
0,1,1,1,0,1,0,1,0,1,0,11,0,17,5,54,0
1,1,1,1,0,0,0,1,0,1,0,8,1,17,6,51,0
0,0,1,1,1,1,0,1,0,1,3,11,5,30,68,46,0
1,0,0,1,0,1,0,1,0,1,0,9,0,19,6,53,1
1,0,0,1,0,1,1,1,0,1,0,10,12,23,86,53,0
1,0,0,1,0,0,0,0,0,1,2,8,3,22,17,53,1
0,0,0,1,1,0,0,0,0,1,0,4,0,46,30,48,1
0,1,1,1,0,0,0,0,0,1,0,10,3,24,10,55,0
0,1,0,1,0,0,0,1,0,1,0,8,0,22,5,48,0
1,0,0,1,1,1,1,1,0,1,5,8,2,47,51,50,1
0,0,0,1,0,1,1,1,0,0,0,12,2,32,48,50,1
1,1,0,1,0,1,1,1,0,1,8,6,1,35,42,57,1
1,0,0,1,0,1,0,0,0,1,0,12,0,23,15,57,1
0,1,0,1,0,0,0,0,0,1,2,10,0,34,31,55,1
1,0,0,1,1,1,1,1,0,1,0,8,0,23,19,57,1
1,0,0,1,1,1,1,1,0,1,0,17,0,55,9,56,1
1,1,0,1,0,0,1,0,0,1,1,8,0,37,5,46,0
1,1,0,1,0,0,0,0,0,1,0,9,0,25,1,48,0
0,0,0,1,0,1,0,0,0,1,0,10,0,20,7,48,1
1,1,0,1,0,0,0,0,0,1,0,10,0,37,4,54,0
1,0,0,0,1,0,1,0,1,1,0,12,0,43,3,56,1
1,1,1,1,0,1,1,1,0,1,0,6,8,24,68,52,0
0,1,0,1,0,1,1,1,0,1,3,12,2,25,11,46,0
1,0,0,1,0,0,0,1,0,1,0,8,1,17,7,49,0
1,0,0,1,0,1,1,1,0,1,0,12,1,24,28,49,1
1,0,1,1,0,0,0,1,0,1,0,8,3,17,14,54,1
1,0,0,0,0,1,1,0,0,1,2,12,3,29,40,56,1
0,1,1,1,0,0,1,0,0,1,5,12,0,30,5,51,0
0,0,0,1,0,0,0,0,0,1,0,7,3,21,31,46,1
1,1,0,1,0,0,0,1,0,1,1,9,0,23,4,52,1
0,0,1,1,0,1,1,1,0,1,1,9,0,19,7,54,1
0,0,0,1,1,0,1,0,0,1,2,9,0,40,33,52,1
0,1,0,1,0,0,0,1,0,1,1,12,3,20,18,52,1
1,1,0,1,0,0,1,1,0,1,1,11,1,22,29,49,1
1,1,0,1,0,0,0,0,0,1,1,10,3,26,26,56,0
1,1,1,0,1,0,0,0,1,1,0,11,0,29,3,50,1
0,1,0,1,1,0,1,0,0,1,0,11,0,25,5,57,1
0,0,1,1,0,1,1,0,0,1,0,12,1,25,17,46,0
1,0,0,1,1,1,0,0,0,1,0,8,0,34,14,51,1
1,0,0,0,0,0,1,0,0,1,0,12,0,25,6,55,1
1,1,0,0,0,0,0,1,0,1,4,9,4,23,9,53,1
1,0,0,1,1,1,1,1,0,1,3,11,1,31,13,53,0
1,0,0,1,0,1,1,1,0,1,0,9,8,18,56,50,0
1,0,0,1,0,0,1,0,0,1,1,11,2,24,21,52,1
1,1,1,1,0,0,0,1,0,0,0,8,0,17,5,56,1
